Step,AgentID,Agent Attributes
0,44,"{'unique_id': 44, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3760>, 'country': 'China', 'public_opinion': 0, 'resources': {'silicon': 1.2676506002282052e-68, 'money': 50, 'chips': 0}}"
0,45,"{'unique_id': 45, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3760>, 'country': 'China', 'public_opinion': -1.0, 'resources': {'silicon': 1.2676506002282052e-68, 'money': 50, 'chips': -30}}"
0,46,"{'unique_id': 46, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3760>, 'country': 'China', 'public_opinion': 0, 'resources': {'silicon': 1.2676506002282052e-68, 'money': 50, 'chips': 0}}"
0,47,"{'unique_id': 47, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'talent': 7, 'resources': {'money': 5, 'chips': 428}, 'prev_resources': {'money': 100, 'chips': 50}, 'country_agent': <Agents.companycountry.CompanyAgent object at 0x7fc5fa3d3b80>, 'company_name': 'Company_47', 'capabilities_score': 2000.6999999999998, 'public_opinion': -0.18395569274802578, 'influence': 1, 'project_launch_threshold': 10, 'government_lobby_money_threshold': 50, 'cooperation_thresholds': {'money': 30, 'chips': 30}, 'project_launch_cost': 10, 'government_lobby_talent_threshold': 5, 'competition_percentage': 0.1}"
0,48,"{'unique_id': 48, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'talent': 4, 'resources': {'money': 6, 'chips': 471}, 'prev_resources': {'money': 100, 'chips': 50}, 'country_agent': <Agents.plant.ProcessingPlantAgent object at 0x7fc5fa3d3640>, 'company_name': 'Company_48', 'capabilities_score': 47.1, 'public_opinion': 0.3999999999999986, 'influence': 1, 'project_launch_threshold': 10, 'government_lobby_money_threshold': 50, 'cooperation_thresholds': {'money': 30, 'chips': 30}, 'project_launch_cost': 10, 'government_lobby_talent_threshold': 5, 'competition_percentage': 0.1}"
0,49,"{'unique_id': 49, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'talent': 1, 'resources': {'money': 6, 'chips': -4}, 'prev_resources': {'money': 100, 'chips': 50}, 'country_agent': <Agents.plant.ProcessingPlantAgent object at 0x7fc5fa3dfd30>, 'company_name': 'Company_49', 'capabilities_score': 67.60000000000001, 'public_opinion': 122.6915914265394, 'influence': 1, 'project_launch_threshold': 10, 'government_lobby_money_threshold': 50, 'cooperation_thresholds': {'money': 30, 'chips': 30}, 'project_launch_cost': 10, 'government_lobby_talent_threshold': 5, 'competition_percentage': 0.1}"
0,50,"{'unique_id': 50, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'talent': 2, 'resources': {'money': 9, 'chips': 153}, 'prev_resources': {'money': 100, 'chips': 50}, 'country_agent': <Agents.plant.ProcessingPlantAgent object at 0x7fc5fa3be700>, 'company_name': 'Company_50', 'capabilities_score': 21.3, 'public_opinion': 47.8, 'influence': 1, 'project_launch_threshold': 10, 'government_lobby_money_threshold': 50, 'cooperation_thresholds': {'money': 30, 'chips': 30}, 'project_launch_cost': 10, 'government_lobby_talent_threshold': 5, 'competition_percentage': 0.1}"
0,51,"{'unique_id': 51, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'talent': 4, 'resources': {'money': 948, 'chips': 261}, 'prev_resources': {'money': 100, 'chips': 50}, 'country_agent': <Agents.plant.ProcessingPlantAgent object at 0x7fc5fa3bee80>, 'company_name': 'Company_51', 'capabilities_score': 0, 'public_opinion': -10, 'influence': 1, 'project_launch_threshold': 10, 'government_lobby_money_threshold': 50, 'cooperation_thresholds': {'money': 30, 'chips': 30}, 'project_launch_cost': 10, 'government_lobby_talent_threshold': 5, 'competition_percentage': 0.1}"
0,52,"{'unique_id': 52, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'talent': 7, 'resources': {'money': 265, 'chips': 939}, 'prev_resources': {'money': 100, 'chips': 50}, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3820>, 'company_name': 'Company_52', 'capabilities_score': 73.7, 'public_opinion': -44.400000000000006, 'influence': 1, 'project_launch_threshold': 10, 'government_lobby_money_threshold': 50, 'cooperation_thresholds': {'money': 30, 'chips': 30}, 'project_launch_cost': 10, 'government_lobby_talent_threshold': 5, 'competition_percentage': 0.1}"
0,53,"{'unique_id': 53, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'talent': 3, 'resources': {'money': 263, 'chips': 627}, 'prev_resources': {'money': 100, 'chips': 50}, 'country_agent': <Agents.mine.MineAgent object at 0x7fc5fa3bebb0>, 'company_name': 'Company_53', 'capabilities_score': 68.7, 'public_opinion': -19.8, 'influence': 1, 'project_launch_threshold': 10, 'government_lobby_money_threshold': 50, 'cooperation_thresholds': {'money': 30, 'chips': 30}, 'project_launch_cost': 10, 'government_lobby_talent_threshold': 5, 'competition_percentage': 0.1}"
0,54,"{'unique_id': 54, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'talent': 7, 'resources': {'money': 12, 'chips': 512}, 'prev_resources': {'money': 100, 'chips': 50}, 'country_agent': <Agents.plant.ProcessingPlantAgent object at 0x7fc5fa3bee80>, 'company_name': 'Company_54', 'capabilities_score': 2469.3, 'public_opinion': -0.5438853910117818, 'influence': 1, 'project_launch_threshold': 10, 'government_lobby_money_threshold': 50, 'cooperation_thresholds': {'money': 30, 'chips': 30}, 'project_launch_cost': 10, 'government_lobby_talent_threshold': 5, 'competition_percentage': 0.1}"
0,55,"{'unique_id': 55, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'talent': 1, 'resources': {'money': 4, 'chips': 70}, 'prev_resources': {'money': 100, 'chips': 50}, 'country_agent': <Agents.companycountry.CompanyAgent object at 0x7fc5fa3df4c0>, 'company_name': 'Company_55', 'capabilities_score': 22.0, 'public_opinion': 69.4, 'influence': 1, 'project_launch_threshold': 10, 'government_lobby_money_threshold': 50, 'cooperation_thresholds': {'money': 30, 'chips': 30}, 'project_launch_cost': 10, 'government_lobby_talent_threshold': 5, 'competition_percentage': 0.1}"
0,56,"{'unique_id': 56, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'talent': 6, 'resources': {'money': 267, 'chips': 1067}, 'prev_resources': {'money': 100, 'chips': 50}, 'country_agent': <Agents.companycountry.CompanyAgent object at 0x7fc5fa3be970>, 'company_name': 'Company_56', 'capabilities_score': 101.4, 'public_opinion': -45.4, 'influence': 1, 'project_launch_threshold': 10, 'government_lobby_money_threshold': 50, 'cooperation_thresholds': {'money': 30, 'chips': 30}, 'project_launch_cost': 10, 'government_lobby_talent_threshold': 5, 'competition_percentage': 0.1}"
1,0,"{'unique_id': 0, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'resources': {'money': 20.799999999999997, 'chips': 50, 'silicon': 0}, 'country': 'EU', 'public_opinion': 1237.7382542, 'company': <Agents.companycountry.CompanyAgent object at 0x7fc5fa3beee0>, 'debt': 0, 'gdp': 136.8, 'prev_resources': {'money': 20.799999999999997, 'chips': 50, 'silicon': 0}, 'silicon_export_rate': 0, 'processing_capacity': 0, 'research_capacity': 160, 'decision_thresholds': {'money': [30, 60], 'chips': [20, 30], 'anxiety_score': [7], 'gdp': [5]}, 'cooperation_thresholds': {'money': 30, 'chips': 30}, 'sanctions_cost': 30, 'sanctions_percentage': 0.2, 'alliance_cost': 20, 'alliance_gain': 10, 'research_investment_cost': 15, 'research_capacity_gain': 10}"
1,1,"{'unique_id': 1, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'talent': 2, 'resources': {'money': 120, 'chips': -70}, 'prev_resources': {'money': 100, 'chips': 50}, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d36d0>, 'company_name': 'Infineon', 'capabilities_score': 16.0, 'public_opinion': 8.128530000000001, 'influence': 1, 'project_launch_threshold': 10, 'government_lobby_money_threshold': 50, 'cooperation_thresholds': {'money': 30, 'chips': 30}, 'project_launch_cost': 10, 'government_lobby_talent_threshold': 5, 'competition_percentage': 0.1}"
1,2,"{'unique_id': 2, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d36d0>, 'country': 'EU', 'public_opinion': 0, 'resources': {'silicon': 100, 'money': 50, 'chips': 0}}"
1,3,"{'unique_id': 3, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d36d0>, 'country': 'EU', 'public_opinion': 0, 'resources': {'silicon': 100, 'money': 50, 'chips': 0}}"
1,4,"{'unique_id': 4, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d36d0>, 'country': 'EU', 'public_opinion': 0, 'resources': {'silicon': 100, 'money': 50, 'chips': 0}}"
1,5,"{'unique_id': 5, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d36d0>, 'country': 'EU', 'public_opinion': 0, 'resources': {'silicon': 100, 'money': 50, 'chips': 0}}"
1,6,"{'unique_id': 6, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d36d0>, 'country': 'EU', 'public_opinion': 71.4, 'resources': {'chips': -70, 'money': 50, 'silicon': 0}}"
1,7,"{'unique_id': 7, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d36d0>, 'country': 'EU', 'public_opinion': 0, 'resources': {'chips': 50, 'money': 50, 'silicon': 0}}"
1,8,"{'unique_id': 8, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d36d0>, 'country': 'EU', 'public_opinion': 0, 'resources': {'chips': 50, 'money': 50, 'silicon': 0}}"
1,9,"{'unique_id': 9, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d36d0>, 'country': 'EU', 'public_opinion': -0.011271306378409101, 'resources': {'chips': -40, 'money': 50, 'silicon': 0}}"
